asin,search_term,page_number,position,scrape_date,scrape_time,scrape_hour,title,price,original_price,sponsored,reviews_count,rating,sales_history,prime
B09HCN9BM6,dry cat food,1,1,9/25/2025,23-33:56,23,"Felix Purina, Felix, delicious duo, Maxi pack, 44 x 85 g- Packaging may vary",16.09,,TRUE,17,4.8,1K+ bought in past month,FALSE
B0BWN6LYGV,dry cat food,1,2,9/25/2025,23-33:56,23,Felix 12X85G TENDRES EFFILES SELECTION OF THE JELLY CAMPAIGN WITH VEGETABLES,39.99,,TRUE,1,5,,FALSE
B08HP7J77F,dry cat food,1,3,9/25/2025,23-33:56,23,FELIX Delicious Wet Double Cat Food Jelly Mix Variety Pack of 120 (120 x 85g),47.99,,TRUE,52,4.7,,FALSE
B08WSZ6C4T,dry cat food,1,4,9/25/2025,23-33:56,23,"Felix Mix Cat Food Jelly Selection Wet Food Meal Bags with Beef, Chicken, Salmon & Tuna, 44 x 85g (44 Meal Bags, 3.7 kg)",17.19,20.65,TRUE,467,4.7,300+ bought in past month,FALSE
B018SQLXGC,dry cat food,1,5,9/25/2025,23-33:56,23,"Whiskas Adult 1+ Cat Food with Chicken, 7kg (1 Bag) - Premium Dry Food for Adult Cats from 1 Year",20.39,,FALSE,115,4.7,300+ bought in past month,FALSE
B0B462WJJY,dry cat food,1,6,9/25/2025,23-33:56,23,One Sterilised PURINA ONE Cat Food for Adult Cats with Chicken 7.5 kg,27.1,30.15,FALSE,967,4.7,200+ bought in past month,FALSE
B0D3V93SJ5,dry cat food,1,7,9/25/2025,23-33:56,23,FRISKIES STERILISES CAT WITH SALMON AND VEGETABLES 3 KG,7.93,12.75,FALSE,201,4.6,100+ bought in past month,FALSE
B07H5SRQXJ,dry cat food,1,8,9/25/2025,23-33:56,23,IAMS Advanced Nutrition - Adult and Senior Cat Food Anti-Hairball - 100% Complete and Balanced - Fresh Chicken - Non-GMO Artificial Flavours - Resealable Bag of 3 kg,12.59,14.99,FALSE,24,4.7,50+ bought in past month,FALSE
B08WSYMYCL,dry cat food,1,9,9/25/2025,23-33:56,23,Felix Cat Food Tenders Tapered in Jelly Mixed Selection 80x85g,30.21,36.45,TRUE,57,4.7,50+ bought in past month,FALSE
B0BJVFNW56,dry cat food,1,10,9/25/2025,23-33:56,23,"Felix Purina Felix Original Wet Cat Food with Tuna, Shrimp, Chicken, Duck, 80 Envelopes, 85 g",33.99,,TRUE,422,4.5,,FALSE
B08Q5M5M3P,dry cat food,1,11,9/25/2025,23-33:56,23,"Felix Succulent Adult Cat Grill with Beef/Chicken/Duck/Turkey in Sauce, Les 72 Pouches, 12 x 80g (Pack of 6)",31.26,,TRUE,11,4.6,,FALSE
B0CN14QLSW,dry cat food,1,12,9/25/2025,23-33:56,23,Felix Original Sliced Cat Food in Sauce Selection of the Campaign 80x85g,33.99,,TRUE,10,5,,FALSE
B07SPBK82K,dry cat food,1,13,9/25/2025,23-33:56,23,PURINA ONE DualNature Natural Defense Beef Dry for Sterilized Adult Cats | 1.4kg Bag,6.57,7.79,FALSE,670,4.6,50+ bought in past month,FALSE
B086VPRL9H,dry cat food,1,14,9/25/2025,23-33:56,23,Purina One Dua Nature Salmon with Spirulina Cat Food 1.4 kg,7.29,,FALSE,496,4.6,100+ bought in past month,FALSE
B0B463YDXP,dry cat food,1,15,9/25/2025,23-33:56,23,PURINA ONE Sterilised PURINA ONE Bifensis | Beef Dry Food for Adult Cats | 7.5 kg Bag,26.95,31.44,FALSE,15,4.7,100+ bought in past month,FALSE
B0BPP8CCYK,dry cat food,1,16,9/25/2025,23-33:56,23,almo nature Holistic Maintece Adult Cat Food with Fresh Chicken - 2kg Bag,11.63,16.99,FALSE,323,4.6,50+ bought in past month,FALSE
B0BWN6CTDZ,dry cat food,1,17,9/25/2025,23-33:56,23,Purina Felix Original Jelly Meat Cat Food 12 x 85 g,35.2,,TRUE,587,,,FALSE
B0BWN583G2,dry cat food,1,18,9/25/2025,23-33:56,23,Felix 12 x 85 g tender EFFILES SENIOR,39.99,,TRUE,667,,,FALSE
B0DMNN4CSZ,dry cat food,1,19,9/25/2025,23-33:56,23,"PETKIT Automatic Cat Food Dispenser with 1080P Camera, 5L Food Dispenser for Cats and Dogs, 2.4G WiFi, Night Vision, AI Function, Stainless Steel Bowl, 1-10 Meals a Day",169.99,199.99,TRUE,643,4.5,,FALSE
B0DMNN1PHL,dry cat food,1,20,9/25/2025,23-33:56,23,"PETKIT Automatic Cat Food Dispenser with 1080P Camera, Food Dispenser for Cats and Dogs 3L, 2.4G WiFi, Night Vision, AI Function, Stainless Steel Bowl, 1-5 Meals a Day",149.99,,TRUE,331,4.5,,FALSE
B08C82SDGY,dry cat food,1,21,9/25/2025,23-33:56,23,PURINA ONE Special Cod/Trout Food with Hard Appetite for Cats 1.5 kg,7.59,,FALSE,831,4.6,100+ bought in past month,FALSE
B08KJTBS66,dry cat food,1,22,9/25/2025,23-33:56,23,PURINA ONE Bifensis Salmon Dry Food for Adult Cats | 9.7 kg Bag,41.49,,FALSE,22,4.7,100+ bought in past month,FALSE
B0D3VBSKN2,dry cat food,1,23,9/25/2025,23-33:56,23,FRISKIES STERILISES CAT WITH SALMON AND VEGETABLES 1.5 KG,5.74,6.69,FALSE,72,4.7,,FALSE
B000VJU4UG,dry cat food,1,24,9/25/2025,23-33:56,23,IAMS Vitality Super Premium Dry Cat Food for Adults and Seniors Anti-Hairball - 100% Complete and Balanced - Chicken - Non-GMO Artificial Flavour Colouring - Resealable Bag of 10 kg,33.99,44.16,FALSE,17,4.6,50+ bought in past month,FALSE
B08YGFWJBV,dry cat food,1,25,9/25/2025,23-33:56,23,"Wellness CORE Original Sterilised Cat Food, Natural and Grain Free, Chicken/Turkey, 4 kg",31,37.49,TRUE,495,4.6,50+ bought in past month,FALSE
B0DY786NYV,dry cat food,1,26,9/25/2025,23-33:56,23,"IMIPAW Automatic Dry Food Dispenser for Cats, Programmable Dry Cat Food Dispenser, 1-6 Meals a Day, Cat Fountains with Filter, Small Animals (Black)",59.99,,TRUE,632,4.3,,FALSE
B08YGHRJKH,dry cat food,1,27,9/25/2025,23-33:56,23,"Wellness CORE Original Dry Cat Food for Adult Cats, Natural and Cereal Free, Turkey/Chicken, 4 kg",31.14,37.49,TRUE,155,4.5,,FALSE
B0BGHC25ZW,dry cat food,1,28,9/25/2025,23-33:56,23,"PURINA ONE BIFENSIS STERILCAT Dry Food for Sterilised Cats, Rich in Chicken, 1 Pack (1 x 5.7 kg)",25.99,,FALSE,43,4.7,100+ bought in past month,FALSE
B07LBLPGBG,dry cat food,1,29,9/25/2025,23-33:56,23,IAMS Vitality - Premium Adult Cat Food 100% Complete and Balanced - Lamb - Non-GMO - Artificial Flavour Colouring - Resealable Bag 1.5,7.99,9.99,FALSE,36,4.6,,FALSE
B07LBMVKW8,dry cat food,1,30,9/25/2025,23-33:56,23,IAMS Vitality - Super Premium Kitten Food - Tasty Whole Balanced - Promotes Growth and Vitality - Fresh Chicken - Non-GMO Artificial Flavour Colouring - Resealable Bag of 1.5 kg,7.99,9.99,FALSE,61,4.6,,FALSE
B0D94PFFT4,dry cat food,1,31,9/25/2025,23-33:56,23,PURINA ONE SPECIAL Cat STERILIZED Croquettes Place Black 1.5 kg,7.46,,FALSE,89,4.7,50+ bought in past month,FALSE
B07LBLFMQD,dry cat food,1,32,9/25/2025,23-33:56,23,IAMS Vitality - Premium Dry Cat Food - Healthy Whole Flavour - Promotes Growth and Vitality - Fresh Chicken - Non-GMO Colouring Artificial Flavour - Resealable Bag 1.5 kg,7.99,9.99,FALSE,1,4.4,,FALSE
B07NRX7QQ6,dry cat food,1,33,9/25/2025,23-33:56,23,Iams Vitality - Sterilised Cat Food - Tasty Complete Balanced - Promotes Growth and Vitality - With Fresh Chicken - Non-GMO Artificial Flavour Colouring - Resealable Bag 10 kg,34.99,44.16,FALSE,25,4.5,,FALSE
B019FILDS0,dry cat food,1,34,9/25/2025,23-33:56,23,WHISKAS Dry Cat Food Bag Adult 1+ with Chicken 3.8kg,13.99,,FALSE,22,4.7,,FALSE
B09YMLZG3S,dry cat food,1,36,9/25/2025,23-33:56,23,Whiskas Adult 1+ Tuna Food 7kg (1 Pack) - Adult Dry Cat Food - Various Product Packaging Available,24.59,,FALSE,379,4.7,50+ bought in past month,FALSE
B00N4UFMWE,dry cat food,1,37,9/25/2025,23-33:56,23,Applaws Senior Chicken Dry Cat Food 400 g,5.29,,FALSE,94,4.4,,FALSE
B015KDIOOA,dry cat food,1,38,9/25/2025,23-33:56,23,Pro Plan Sterilised 7+ with LONGEVIS 3 kg - Dry cat food for senior cats,22.09,25.99,FALSE,564,4.7,,FALSE
B08Y72NXR6,dry cat food,1,39,9/25/2025,23-33:56,23,Nature's Variety Original No Grain - Sterilized Adult Cat Food - Grain Free with Boneless Turkey - 1.25 kg,13.6,,FALSE,47,4.6,,FALSE
B0161HVGF8,dry cat food,1,41,9/25/2025,23-33:56,23,IAMS Adult Cat Food Fish 3 kg,15.79,,FALSE,12,4.6,,FALSE
B07HLQ6L7F,dry cat food,1,42,9/25/2025,23-33:56,23,Pro Plan - Cat Ster Ad Opti Chicken for Cats 3 kg,22.56,25.99,FALSE,334,4.6,,FALSE
B0B5LPQDX6,dry cat food,1,43,9/25/2025,23-33:56,23,"IAMS Dry food for kittens from 1 to 12 months with ocean fish, 3 kg",15.74,,FALSE,839,4.6,,FALSE
